lead_time_days,temp_forecast,precip_forecast,mslp,pressure_tendency_24h,rh_850,wind_shear_850_200,cape_j_kg,ensemble_spread,instability_index,lead_decay_factor,baroclinic_gradient,actual_precip,actual_temp,rain_error,temp_error,bust_occurred
3.0,32.27978179410304,8.64597409846893,1013.551793573494,-1.3584646689983069,78.95231347287732,20.415228869881133,1049.9486120217605,0.9354562197682554,1.6579174389350897,1.7320508075688772,2.7733367129247752,4.9775682835346355,32.530559866202346,-3.668405814934294,0.25077807209930825,0
10.0,33.07249936169013,5.186157550076874,1012.8897167885186,1.3589489171871985,56.859450127239725,13.429996200556285,188.05020029877107,1.4702349760012583,0.2138486197061083,3.1622776601683795,1.8250678794574153,25.419940893273466,36.514775929452334,20.233783343196592,3.4422765677622067,0
7.0,20.942845140478443,3.379717375133744,1011.6987453654558,1.1407557033014513,98.0,13.472085817843041,364.6754298832681,6.872165585899559,0.7147638425712055,2.6457513110645907,1.5368358732071044,5.35898205751134,31.125400273368232,1.979264682377596,10.182555132889789,1
5.0,19.23134104356447,24.583560191083762,1014.1046131790295,-1.1804339657523237,43.455126584510396,2.716274842297172,481.74914032487766,0.6265700359991567,0.41868939749593237,2.23606797749979,0.3206383084166118,26.32175929521739,19.29548983037573,1.7381991041336278,0.06414878681125913,0
2.0,24.151376177908592,0.0,1008.5431623127724,4.289844283254758,50.37149495330201,23.177146288528192,915.7696308948559,1.9438529945033853,0.9225737068201496,1.4142135623730951,9.94263485080019,0.0,24.0128506183939,0.0,-0.13852555951469014,0
2.0,24.699980623650603,0.0,1003.793887774204,-2.362940249613636,63.01074492725731,15.906427275136412,60.953914207367916,0.579642192521459,0.0768150308087677,1.4142135623730951,3.758593723597198,2.428198479361422,24.519170715457733,2.428198479361422,-0.18080990819287024,0
1.0,33.8972265127658,0.0,1013.0201531017132,3.276837317536464,37.44187282322632,16.771998697671258,375.13976294569994,0.7099675456239533,0.2809187059029633,1.0,5.495911122220215,1.4941384383593455,33.8437975007598,1.4941384383593455,-0.053429012005999255,0
8.0,25.005497906007882,0.0,1013.230632164421,2.789813079358514,97.22556496330124,2.0,288.6332831404206,0.7457763158556459,0.5612506804107976,2.8284271247461903,0.5579626158717028,0.0,22.786962292048653,0.0,-2.2185356139592294,0
6.0,23.433734631172175,0.0,1013.079226458213,4.458470181449232,68.29673669676706,12.725310168546873,1.3685198430243883,3.0039084943171335,0.0018693087876667526,2.449489742783178,5.673541593615893,2.2913757225500775,22.54884561601751,2.2913757225500775,-0.8848890151546662,0
7.0,25.024380711485364,4.386210041751834,1007.2447614527558,-0.012643089839541877,50.7809205758037,6.438920485469101,1058.8778439408368,0.33896199828699364,1.075415833852758,2.6457513110645907,0.008140785016745243,0.0,23.2128915624921,-4.386210041751834,-1.8114891489932639,0
